mean,std,median,range,entropy,skew,filename
20.67419,37.44709,2.052899e-08,108.44867,-1.8110229242326084,20.67419,WTV_Loc017_0001.ibw
23.789783,41.908264,2.059237e-08,108.373886,-1.8163877755638904,23.789783,WTV_Loc016_0001.ibw
25.039707,43.548805,1.9214756e-08,108.98367,-1.800670507742799,25.039707,WTV_Loc001_0001.ibw
12.034403,23.780365,9.331099e-08,129.0694,-1.3590884880980527,12.034403,Cs50MA50approx_0021.ibw
9.405539,18.43544,9.086095e-08,133.48354,-1.2888910031978646,9.405539,Cs50MA50approx_0035.ibw
27.035828,46.836212,3.891e-08,110.57395,-1.8066828481457178,27.035828,PTO_AC_0003.ibw
25.184496,44.219524,1.911923e-08,114.29811,-1.663546505230173,25.184496,WTV_Loc007_0001.ibw
25.593735,44.722477,1.9081615e-08,113.17524,-1.6918562227360094,25.593735,WTV_Loc006_0001.ibw
25.882828,44.910027,3.7936346e-08,116.18716,-1.6201195153205958,25.882828,PTO_AC_0000 (1).ibw
26.925587,46.64486,3.7431263e-08,111.396965,-1.7520051427321985,26.925587,PTO_AC_0002.ibw
27.892145,49.292973,3.3858875e-08,151.43488,-1.0399259847478222,27.892145,PTO_AC_0000.ibw
4.9404745,14.940729,9.151535e-08,105.79803,-1.8859291122696877,4.9404745,Cs50MA50approx_0045.ibw
4.9470663,14.5245905,8.453284e-08,109.41601,-1.7859404640607848,4.9470663,Cs50MA50approx_0044.ibw
28.876099,50.041393,2.0641874e-08,123.19393,-1.4779848447416117,28.876099,PTO_AC_0001.ibw
27.438866,47.528305,4.6036202e-08,113.174805,-1.7301411856827913,27.438866,PTO_AC_0005.ibw
5.5368147,9.75702,3.4529607e-05,114.16149,-1.7016213581878903,5.5367804,approx5050compos_0018.ibw
23.951115,42.881054,1.916737e-08,117.96078,-1.57666184821406,23.951115,WTV_Loc010_0001.ibw
24.748184,42.907944,2.1714342e-08,103.429016,-1.9726210705772314,24.748184,WTV_Loc011_0001.ibw
27.90057,48.32735,4.5652875e-08,114.95165,-1.6861235143654936,27.90057,PTO_AC_0004.ibw
26.840332,46.504498,3.8405556e-08,116.29903,-1.628574774719119,26.840332,PTO_AC_0001 (1).ibw
22.667229,39.26635,5.4477944e-08,95.29723,-2.2582687018432663,22.667229,PTO_AC_0007.ibw
26.674265,46.26613,1.914305e-08,112.00876,-1.727496591517771,26.674265,WTV_Loc009_0001.ibw
24.622051,43.409214,1.9154463e-08,115.32239,-1.637664986873303,24.622051,WTV_Loc008_0001.ibw
-0.49349666,5.6907396,7.995076e-08,23.21052,-14.153918103818256,-0.49349675,MBI_type_0020.ibw
17.975225,35.765175,4.8435226e-08,184.79503,-0.7447744295316684,17.975225,HeightCali0027.ibw
31.452583,54.489346,1.4079015e-08,134.33449,-1.2846112820253672,31.452583,PTO_AC_0009.ibw
26.661953,46.32138,1.9138398e-08,114.440506,-1.664280382058735,26.661953,WTV_Loc003_0001.ibw
25.575798,44.583572,1.919411e-08,112.892456,-1.6989937512209878,25.575798,WTV_Loc002_0001.ibw
10.505659,18.934376,9.503347e-08,135.26224,-1.2659837888731529,10.505659,approx5050compos_0011.ibw
21.51915,38.54337,2.0345592e-08,108.54285,-1.809195462566652,21.51915,WTV_Loc020_0001.ibw
10.503411,19.050896,9.471526e-08,131.61694,-1.3249618402245338,10.503411,approx5050compos_0012.ibw
22.434488,39.132687,2.3135232e-08,98.100136,-2.137381998341762,22.434488,WTV_Loc014_0001.ibw
21.824738,38.44786,2.3130454e-08,100.18071,-2.06415170515128,21.824738,WTV_Loc015_0001.ibw
22.471584,40.16911,2.0500956e-08,108.85681,-1.8035050558922119,22.471584,WTV_Loc019_0001.ibw
23.590054,41.62801,2.0593353e-08,107.85498,-1.833096904701222,23.590054,WTV_Loc018_0001.ibw
20.014145,35.43803,4.7983264e-08,133.2735,-1.2899119759175948,20.014145,ARHeight_0000.ibw
28.277327,50.193977,4.2234277e-08,173.07883,-0.8312571032601894,28.277327,ARHeight_0001.ibw
20.45041,35.7081,5.7541496e-07,122.69912,-1.4773596586758702,20.45041,Cs50MA50approx_0005.ibw
23.067665,40.32501,2.431938e-08,100.68795,-2.0552374783868297,23.067665,WTV_Loc013_0001.ibw
24.814854,43.02841,2.1791667e-08,103.75794,-1.9621174432388786,24.814854,WTV_Loc012_0001.ibw
29.877422,52.31143,4.227317e-08,177.89088,-0.7947598258625039,29.877422,ARHeight_0002.ibw
22.73758,39.7312,1.0061419e-07,125.27138,-1.4281873831577312,22.73758,Cs50MA50approx_0003.ibw
27.063046,46.967842,1.9044911e-08,114.65453,-1.6607244697271586,27.063046,WTV_Loc004_0001.ibw
26.4976,45.99559,1.904369e-08,111.97506,-1.7268714577879962,26.4976,WTV_Loc005_0001.ibw
