mean,std,median,range,entropy,skew,filename
20.68404,37.45915,2.0529853e-08,108.16193,-1.8188153991256453,20.68404,WTV_Loc017_0001.ibw
23.790848,41.912296,2.0588576e-08,108.14129,-1.8228890612167545,23.790848,WTV_Loc016_0001.ibw
25.049028,43.56448,1.9202199e-08,108.90359,-1.8028709588422471,25.049028,WTV_Loc001_0001.ibw
12.035895,23.775118,9.333998e-08,129.13496,-1.3579340208892883,12.035895,Cs50MA50approx_0021.ibw
9.410714,18.444544,9.0867786e-08,133.49889,-1.2885947090539587,9.410714,Cs50MA50approx_0035.ibw
27.047232,46.85496,3.994816e-08,110.69441,-1.8041455606403314,27.047232,PTO_AC_0003.ibw
25.189417,44.23173,1.9114744e-08,114.218796,-1.6654341272007291,25.189417,WTV_Loc007_0001.ibw
25.614403,44.750294,1.9079376e-08,113.22645,-1.6906106730688737,25.614403,WTV_Loc006_0001.ibw
25.889404,44.91902,3.9512628e-08,115.75768,-1.630116408516604,25.889404,PTO_AC_0000 (1).ibw
26.947155,46.682583,3.65265e-08,111.69531,-1.7463061469726444,26.947155,PTO_AC_0002.ibw
27.848122,49.21652,3.480092e-08,147.34203,-1.0888702228856697,27.848122,PTO_AC_0000.ibw
4.9345417,14.928619,9.150869e-08,104.96819,-1.910160105096946,4.9345417,Cs50MA50approx_0045.ibw
4.929117,14.5022335,8.512136e-08,113.989265,-1.6707065461222574,4.929117,Cs50MA50approx_0044.ibw
28.875452,50.04005,2.064234e-08,123.21993,-1.477537718702492,28.875452,PTO_AC_0001.ibw
27.437122,47.525574,4.5809823e-08,113.11096,-1.7318818151293336,27.437122,PTO_AC_0005.ibw
5.5331025,9.737763,0.00029374918,104.31476,-1.9678864953400113,5.532809,approx5050compos_0018.ibw
23.987537,42.910114,1.9163515e-08,117.82125,-1.5797236630338232,23.987537,WTV_Loc010_0001.ibw
24.756807,42.921337,2.1716048e-08,103.291275,-1.9767593059783493,24.756807,WTV_Loc011_0001.ibw
27.899658,48.32573,4.53714e-08,114.74931,-1.6912887778765995,27.899658,PTO_AC_0004.ibw
26.835255,46.496468,3.776263e-08,115.489105,-1.6472969571955967,26.835255,PTO_AC_0001 (1).ibw
22.665098,39.262733,5.4127174e-08,95.0332,-2.2680291060536133,22.665098,PTO_AC_0007.ibw
26.683819,46.28112,1.9142966e-08,111.89485,-1.7303241661506292,26.683819,WTV_Loc009_0001.ibw
24.611595,43.39784,1.9155163e-08,115.20438,-1.6403937630452878,24.611595,WTV_Loc008_0001.ibw
-0.49311757,5.691177,7.9954525e-08,22.763401,-14.565104500253616,-0.49311766,MBI_type_0020.ibw
17.920269,35.83572,4.831668e-08,323.59042,-0.27893328751203705,17.920269,HeightCali0027.ibw
31.453901,54.491646,1.4078321e-08,134.26,-1.2857284266716542,31.453901,PTO_AC_0009.ibw
26.65228,46.303246,1.9136358e-08,114.45268,-1.6639729850453548,26.65228,WTV_Loc003_0001.ibw
25.562275,44.566246,1.9196772e-08,112.841354,-1.7002570152831353,25.562275,WTV_Loc002_0001.ibw
10.485368,18.875753,9.5033165e-08,136.36783,-1.2490162753272143,10.485368,approx5050compos_0011.ibw
21.53687,38.574726,2.0340899e-08,108.383766,-1.813630049223562,21.53687,WTV_Loc020_0001.ibw
10.493103,19.02168,9.471566e-08,136.2655,-1.2509635189726775,10.493103,approx5050compos_0012.ibw
22.425453,39.11741,2.3138174e-08,98.22866,-2.133019115448,22.425453,WTV_Loc014_0001.ibw
21.80256,38.412987,2.3127662e-08,100.40231,-2.056817989893184,21.80256,WTV_Loc015_0001.ibw
22.465912,40.1591,2.0500321e-08,108.353775,-1.8172226483423135,22.465912,WTV_Loc019_0001.ibw
23.591524,41.63108,2.0592058e-08,107.95468,-1.8304878221847534,23.591524,WTV_Loc018_0001.ibw
20.08469,35.56593,4.8148024e-08,147.01443,-1.095293677263066,20.08469,ARHeight_0000.ibw
28.291298,50.20658,4.224728e-08,178.39043,-0.7895069041742944,28.291298,ARHeight_0001.ibw
20.454317,35.70932,5.741043e-07,122.77657,-1.4758445108290654,20.454317,Cs50MA50approx_0005.ibw
23.075958,40.336617,2.4318851e-08,100.3732,-2.06554517818581,23.075958,WTV_Loc013_0001.ibw
24.814846,43.02795,2.179004e-08,104.026375,-1.9538740895518698,24.814846,WTV_Loc012_0001.ibw
29.871162,52.274124,4.2279204e-08,175.3478,-0.814494966014188,29.871162,ARHeight_0002.ibw
22.736748,39.728985,1.00618266e-07,130.96933,-1.326948083752965,22.736748,Cs50MA50approx_0003.ibw
27.062984,46.967613,1.9039692e-08,114.83584,-1.6564139774907176,27.062984,WTV_Loc004_0001.ibw
26.497034,45.992413,1.903712e-08,111.90981,-1.7284237807814664,26.497034,WTV_Loc005_0001.ibw
