mean,std,median,range,entropy,skew,filename
32.998684,57.429264,1.176005e-09,160.02368,1.7533358801771954,32.998684,BSFO_AC_0006.ibw
22.095642,38.968952,9.657802e-08,137.92139,1.3544697308382256,22.095642,H_90Cs10MA_0000.ibw
31.495983,54.640686,3.9670205e-08,130.19398,1.0857795371704213,31.495983,BSFO_AC_0007.ibw
36.534344,63.43591,5.7357044e-09,165.71404,1.6717116193411403,36.534344,BSFO_AC_0005.ibw
32.394012,56.124916,2.8222608e-08,131.69498,0.8013310089625593,32.394012,BSFO_AC_0004.ibw
19.65549,34.21469,5.9671734e-09,118.29722,1.5429877110329477,19.65549,H_90Cs10MA_0006.ibw
29.27573,50.716747,3.4549096e-08,122.043945,0.9616857785284414,29.27573,BSFO_AC_0001.ibw
31.394665,54.766197,2.4948918e-08,132.96004,0.8961048731144641,31.394665,BSFO_AC_0003.ibw
16.726393,30.70798,1.375065e-08,116.179886,1.4739191056056775,16.726393,H_90Cs10MA_0004.ibw
31.202456,54.05289,2.0503215e-08,128.49065,1.0120775126069266,31.202456,BSFO_AC_0002.ibw
24.766575,42.89739,3.6420257e-08,100.57612,-0.08209220275887855,24.766575,PZT_AC_0000.ibw
27.138985,47.770134,3.4750975e-08,125.045586,1.6977954563958564,27.138985,BTO_AC_0002.ibw
25.000017,43.301823,3.614781e-08,101.25552,0.003466624999901448,25.000017,PZT_AC_0001.ibw
24.892418,43.115005,3.5465796e-08,100.24046,-0.5079081155642057,24.892418,PZT_AC_0003.ibw
24.900795,43.129894,3.6685716e-08,100.72987,-0.07435617751690196,24.900795,PZT_AC_0002.ibw
23.221172,40.43751,3.6966913e-08,109.60038,1.7556772361924997,23.221172,WTV_AS_AC_0048.ibw
17.471403,31.761917,5.244078e-07,115.9253,1.7911643835172433,17.471403,PositionC_30Cs70M0000.ibw
20.775827,37.663906,4.3418083e-08,148.56854,2.0288449790010725,20.775827,Cs50MA50approx_0013.ibw
29.80154,51.628704,2.2364473e-08,122.16287,0.9307194835599648,29.80154,BSFO_AC_0008.ibw
